name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-04-01,29.5,6,20.1,27.9,3.9,19.7,2.3,33.8,0,0,0,,0,0,41,24.6,212,1014.6,20.1,8.4,333.8,28.8,10,,2024-04-01T06:29:41,2024-04-01T18:50:50,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-04-02,29,11.4,20.1,27.3,11.4,19.9,2.8,35.4,0,0,0,,0,0,41,29.5,191.8,1014.2,64.2,10.7,332.1,28.7,10,,2024-04-02T06:28:50,2024-04-02T18:51:05,0.79,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76679399999,76680099999,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-04-03,28.8,6.1,21.6,27.4,6.1,21.3,3.3,32.4,0,0,0,,0,0,58.3,34.4,222.2,1010.4,17.7,10.2,318.8,27.6,10,,2024-04-03T06:28:00,2024-04-03T18:51:21,0.83,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-04-04,26.7,8.3,19.1,26.3,6.7,19,3.9,40.3,0,0,0,,0,0,43.9,22.1,258.6,1011.5,34.6,12,281.4,24.4,10,,2024-04-04T06:27:10,2024-04-04T18:51:36,0.86,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-04-05,28.1,4.1,19.5,26.8,4.1,19.3,3,37.2,0,0,0,,0,0,44.6,26.3,171.2,1015.6,16.6,12.9,322.7,28,10,,2024-04-05T06:26:20,2024-04-05T18:51:52,0.9,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-04-06,29.3,13.1,21.7,27.6,13.1,21.4,2.1,30.4,0,0,0,,0,0,40.7,21.4,180.7,1016.2,11.8,15,332.2,28.7,10,,2024-04-06T06:25:31,2024-04-06T18:52:08,0.93,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-04-07,29.3,12.4,21.5,27.9,12.4,21.2,4.4,35.2,0,0,0,,0,0,37,26.2,179.2,1012.9,14.7,11.6,302.4,26.1,10,,2024-04-07T06:24:41,2024-04-07T18:52:24,0.96,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-04-08,27.6,8.1,19.5,26.5,8.1,19.4,4.1,40.9,0,0,0,,0,0,39.6,18.4,183.8,1010.5,21.4,10.2,329.3,28.6,10,,2024-04-08T06:23:52,2024-04-08T18:52:40,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-04-09,28.1,6.1,20.5,26.8,6.1,20.2,2,32.3,0,0,0,,0,0,54,37.4,189.5,1011.4,28.4,11.5,338.2,29,10,,2024-04-09T06:23:04,2024-04-09T18:52:56,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-04-10,28.2,9,20.2,27,6.9,19.8,3.3,36.1,0,0,0,,0,0,41.4,20.9,213.9,1012,37.6,10.9,327.5,28.2,10,,2024-04-10T06:22:16,2024-04-10T18:53:12,0.07,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-04-11,33.7,13.7,19.7,33.4,13.7,19.7,6.3,43.9,0,0,0,,0,0,48.2,25.9,71.9,1013.6,30.1,11.5,292.1,25.3,10,,2024-04-11T06:21:28,2024-04-11T18:53:29,0.1,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-04-12,28.1,8.2,18.4,26.9,6.3,18.2,5.1,46.2,1.006,100,8.33,rain,0,0,35.6,29.1,41,1020.2,36.2,10.6,300.4,25.9,10,,2024-04-12T06:20:41,2024-04-12T18:53:45,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-04-13,30.9,9.1,21,28.9,9.1,20.6,5.9,44.5,0,0,0,,0,0,32,18.3,32.3,1017.6,27.1,9.5,332.4,28.7,10,,2024-04-13T06:19:54,2024-04-13T18:54:02,0.16,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-04-14,31.2,8.9,22.1,29.2,8.9,21.6,4.4,34.6,0,0,0,,0,0,28.8,22.1,24.4,1013.9,35.4,13.3,332.9,28.7,10,,2024-04-14T06:19:08,2024-04-14T18:54:19,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-04-15,32.7,10.1,23.1,30.7,10.1,22.6,6.5,38,0,0,0,,0,0,37.1,18.4,229.3,1009,56,8,319.7,27.7,10,,2024-04-15T06:18:22,2024-04-15T18:54:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMMX,MMTO"
