name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-03-01,32,4.9,19.2,29.7,4.9,19.1,2.3,36,0,0,0,,0,0,55.4,32.2,174.1,1017.9,66.7,10.7,297.9,25.6,10,,2024-03-01T06:55:27,2024-03-01T18:42:09,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-03-02,27.5,8.8,19.9,26.7,8.8,19.8,4.5,38.7,0,0,0,,0,0,33.8,23,187.2,1013.9,31.9,10.7,300.8,25.8,10,,2024-03-02T06:54:42,2024-03-02T18:42:29,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-03-03,29,11.1,19.6,27.6,11.1,19.4,3.2,35.9,0,0,0,,0,0,39.6,25.8,162.6,1014.5,29.9,10.2,295.2,25.6,10,,2024-03-03T06:53:56,2024-03-03T18:42:49,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-03-04,28.1,11,20,26.8,11,19.8,4.5,41,0,0,0,,0,0,39.6,28.3,195.7,1009.1,37.9,9.8,300,26.1,10,,2024-03-04T06:53:10,2024-03-04T18:43:09,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-03-05,28.5,2.4,18.8,27,2.4,18.6,1.3,34.9,0,0,0,,0,0,36,17.9,52.1,1011.3,5.2,10,309.9,26.9,10,,2024-03-05T06:52:23,2024-03-05T18:43:28,0.84,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-03-06,29.4,11,20.3,27.8,11,20.1,4.6,38.6,0,0,0,,0,0,29.9,17.6,118.9,1008.9,0.1,10.3,305.3,26.4,10,,2024-03-06T06:51:36,2024-03-06T18:43:47,0.88,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-03-07,30.1,12,20.9,28.2,12,20.6,2.1,31.6,0,0,0,,0,0,43.2,29.4,166.6,1010,0.3,11,310.8,26.7,10,,2024-03-07T06:50:48,2024-03-07T18:44:06,0.91,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-03-08,31.8,13.9,22,29.7,13.9,21.4,-2.4,23.9,0,0,0,,0,0,34.6,35.5,172.1,1009.9,16.8,13.4,316.8,27.3,10,,2024-03-08T06:50:00,2024-03-08T18:44:24,0.95,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-03-09,32.2,11.1,21.9,30.2,11.1,21.4,-0.7,26.3,0,0,0,,0,0,43.2,23.5,148.2,1009.3,16.6,9.7,319,27.4,10,,2024-03-09T06:49:11,2024-03-09T18:44:42,0.98,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76679399999,76680099999,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-03-10,28.8,10.6,19.9,27.4,10.6,19.7,7.2,50.3,0,0,0,,0,0,48.6,21.7,128.6,1011.9,21.4,8.5,309.8,26.7,10,,2024-03-10T06:48:22,2024-03-10T18:45:00,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
