name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-06-01,35.1,14.1,24.7,34.8,14.1,24.1,7.6,37.7,0,0,0,,0,0,40.3,23,137.6,1013.3,33.7,9.9,344.5,29.7,10,,2024-06-01T05:57:29,2024-06-01T19:11:37,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-06-02,31.9,15.7,24.7,30.3,15.7,24.1,5.9,34.3,0,0,0,,0,0,30.2,21.2,131.9,1011.8,53.5,9.7,347.6,29.9,10,,2024-06-02T05:57:26,2024-06-02T19:11:59,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76679399999,76680099999,MMCB,remote,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-06-03,32.5,11,23.3,30.4,11,22.7,5.6,35.5,3.064,100,12.5,rain,0,0,64.8,36.5,114.1,1009.6,41.8,7.5,326.5,28.1,10,,2024-06-03T05:57:24,2024-06-03T19:12:21,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-06-04,30.2,12.2,22.9,28.8,12.2,22.6,8.8,43.7,0,0,0,,0,0,50.4,28.2,251.3,1009,56.2,10.6,254.6,22,10,,2024-06-04T05:57:23,2024-06-04T19:12:43,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-06-05,30.8,9.9,21.9,28.8,9.9,21.5,7.4,44.4,6.2,100,4.17,rain,0,0,34.9,33.2,46.1,1011.6,50.4,9.3,315.4,27.3,10,,2024-06-05T05:57:22,2024-06-05T19:13:04,0.97,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-06-06,31,15,23.6,29.2,15,23.1,9.3,45,1.923,100,20.83,rain,0,0,38.2,23.6,17.8,1010.1,48.3,8.3,305.5,26.4,10,,2024-06-06T05:57:23,2024-06-06T19:13:25,0,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-06-07,29.9,12.2,22.8,28.1,12.2,22.5,7.8,42.2,0.064,100,4.17,rain,0,0,46.4,29.4,29.5,1014,47.3,9.2,320.1,27.7,10,,2024-06-07T05:57:24,2024-06-07T19:13:46,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-06-08,29.2,16,21.6,27.7,16,21.4,10.3,52.4,10.593,100,12.5,rain,0,0,20.9,37.1,24.3,1016.4,56.7,8.5,265.5,23,9,,2024-06-08T05:57:27,2024-06-08T19:14:06,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-06-09,28.1,11.7,19.9,28.2,11.7,19.9,13.3,67.6,0.8,100,4.17,rain,0,0,28.8,25.9,154.1,1015.3,62,8.7,260.2,22.3,8,,2024-06-09T05:57:31,2024-06-09T19:14:26,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-06-10,27.2,11.9,21,26.8,11.9,21,12.2,61.4,0,0,0,,0,0,46.1,28.2,18.6,1009.4,64.6,7,270.1,23.2,10,,2024-06-10T05:57:35,2024-06-10T19:14:46,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO"
