name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-08-01,24.6,13.7,17.9,24.6,13.7,17.9,13.2,76.6,0.2,100,4.17,rain,0,0,34.9,19.5,6,1014.9,82,7.7,268.3,23.1,10,,2024-08-01T06:12:58,2024-08-01T19:12:26,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-08-02,24.2,9.9,16.1,24.2,9.3,16.1,11.2,74.2,2.971,100,8.33,rain,0,0,20.5,14.6,331.7,1018.2,79.5,10.5,211.6,18.2,8,,2024-08-02T06:13:18,2024-08-02T19:11:57,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-08-03,24.3,13.1,17.6,24.3,13.1,17.6,12.6,74.5,9.045,100,16.67,rain,0,0,31,31.8,345.7,1016.9,66.8,10.8,280.9,24.4,9,,2024-08-03T06:13:38,2024-08-03T19:11:27,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-08-04,27.6,7.1,16.9,27.9,7.1,16.9,10.6,68.8,0.08,100,4.17,rain,0,0,23,22.2,41.1,1014,71.3,13.7,291.7,25.1,10,,2024-08-04T06:13:58,2024-08-04T19:10:55,0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-08-05,25,10.1,18,25,10.1,18,12.4,72,12,100,8.33,rain,0,0,21.6,22.3,36.7,1016.6,65.6,10.3,240.1,20.9,9,,2024-08-05T06:14:17,2024-08-05T19:10:23,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-08-06,25.7,10.2,18.5,25.7,10.2,18.5,13.2,73,0.1,100,4.17,rain,0,0,25.2,25.4,23.8,1014.2,75.5,7.9,255.1,21.9,9,,2024-08-06T06:14:36,2024-08-06T19:09:50,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-08-07,25,12.7,18.9,25,12.7,18.9,13.6,74,2.311,100,12.5,rain,0,0,28.8,18.2,51.3,1014.5,83.8,8,215.8,18.6,8,,2024-08-07T06:14:55,2024-08-07T19:09:16,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-08-08,25.6,11.2,19.5,25.6,11.2,19.5,11.4,63.1,20.123,100,12.5,rain,0,0,25.6,24.2,21.4,1012.4,80.2,9.8,264.9,22.9,9,,2024-08-08T06:15:13,2024-08-08T19:08:40,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-08-09,25.8,15,18.8,25.8,15,18.8,13.4,72.7,3.609,100,16.67,rain,0,0,46.4,31.1,346.4,1013.9,84.1,9.3,252.9,21.8,8,,2024-08-09T06:15:32,2024-08-09T19:08:05,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-08-10,23,13.3,18.3,23,13.3,18.3,12.9,72.3,0.086,100,4.17,rain,0,0,25.2,18.2,329.8,1017.3,80.7,11.9,226.7,19.7,7,,2024-08-10T06:15:50,2024-08-10T19:07:28,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-08-11,24.1,11.1,17.8,24.1,11.1,17.8,14.5,81,5.1,100,45.83,rain,0,0,26.6,18.4,307.7,1018,87.2,9.1,184.1,16,8,,2024-08-11T06:16:07,2024-08-11T19:06:50,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2024-08-12,24,13.6,17.8,24,13.6,17.8,12.9,72.9,6.6,100,62.5,rain,0,0,28.8,14.8,160.5,1016.2,87.7,10.4,186.8,16.2,7,,2024-08-12T06:16:25,2024-08-12T19:06:12,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-08-13,23.9,12.1,18.3,23.9,12.1,18.3,12.9,73.4,2.691,100,12.5,rain,0,0,20.9,17.4,342.4,1016.1,73.6,9.2,256.3,22.1,9,,2024-08-13T06:16:42,2024-08-13T19:05:32,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMMX,76675099999,MMTO"
