name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2023-01-01,22.1,3.1,13,22.1,3.1,12.8,5.1,63.8,0,0,0,,0,0,33.1,18.4,156,1021.8,38.4,9.4,202.4,17.5,7,,2023-01-01T07:10:44,2023-01-01T18:09:28,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2023-01-02,26.1,2,14.3,26.1,1.7,14.1,5.7,59.7,0,0,0,,0,0,43.2,33.5,162.3,1020.8,58,14.5,199.3,17,8,,2023-01-02T07:11:03,2023-01-02T18:10:05,0.36,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2023-01-03,28.1,4.1,15.6,27.1,4.1,15.5,5.8,55.7,0.1,100,4.17,rain,0,0,36,18.4,198.8,1019.7,55.3,14.4,217.1,18.7,8,,2023-01-03T07:11:21,2023-01-03T18:10:43,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2023-01-04,24,-0.9,13.5,24,-3.7,13.2,4,57.9,0,0,0,,0,0,28.4,17.1,109.3,1022.9,10,12,227.2,19.6,8,,2023-01-04T07:11:39,2023-01-04T18:11:20,0.42,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2023-01-05,22.5,6.4,14.6,22.5,4.7,14.4,3.8,53.1,0,0,0,,0,0,28.1,22.1,19.7,1024.7,9,12.2,220.6,18.9,8,,2023-01-05T07:11:55,2023-01-05T18:11:58,0.46,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2023-01-06,21.2,1.8,13.5,21.2,1.8,13.4,2.7,54.5,0,0,0,,0,0,22.7,14.8,59.7,1024.8,6,11.3,229.3,19.8,9,,2023-01-06T07:12:10,2023-01-06T18:12:37,0.5,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-07,27.1,1.1,13.7,26.3,0.5,13.4,1.3,50.1,0,0,0,,0,0,26.3,12.7,32.1,1023.7,4.7,10.4,236.3,20.4,9,,2023-01-07T07:12:23,2023-01-07T18:13:15,0.53,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2023-01-08,27,0.2,14.5,26.1,0.2,14.4,0,40.8,0,0,0,,0,0,28.8,29.5,15,1022.9,1.6,12.7,235.1,20.3,9,,2023-01-08T07:12:36,2023-01-08T18:13:54,0.56,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2023-01-09,25.1,2.8,13.8,25.1,2.8,13.6,4.3,57.5,0,0,0,,0,0,23,21.9,339.2,1023.8,32.5,9.3,211.8,18.2,8,,2023-01-09T07:12:47,2023-01-09T18:14:33,0.59,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-10,26.1,3.1,15.3,26.1,3.1,15.3,3.5,49.8,0.3,100,8.33,rain,0,0,21.6,24.1,265.6,1022.2,42.7,11.1,183.7,15.9,8,,2023-01-10T07:12:57,2023-01-10T18:15:12,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2023-01-11,21.5,3.1,13.5,21.5,3.1,13.4,4.1,56.5,0,0,0,,0,0,25.2,17.9,202,1022.3,44.2,9.1,191.5,16.5,7,,2023-01-11T07:13:06,2023-01-11T18:15:51,0.66,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-12,21,0,12.2,21,0,12.1,2.3,58.2,0,0,0,,0,0,40.3,29.5,28.6,1023.9,24.1,9.1,211.9,18.2,8,,2023-01-12T07:13:14,2023-01-12T18:16:30,0.69,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-13,20.1,4,13.1,20.1,0.8,12.7,1.2,50.1,0,0,0,,0,0,32.4,22.1,6.6,1026.2,40.3,12.1,220,19.1,9,,2023-01-13T07:13:20,2023-01-13T18:17:10,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-14,21,3,11.4,21,1.7,11.1,-3.1,42.9,0,0,0,,0,0,28.8,20.5,120.8,1024.6,2.2,12.3,243.6,21.1,9,,2023-01-14T07:13:25,2023-01-14T18:17:49,0.75,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2023-01-15,22.1,0,13.3,22.1,-1.8,12.9,-1.8,39.1,0,0,0,,0,0,25.2,29.1,120.9,1021.4,0.3,11.9,236.8,20.4,9,,2023-01-15T07:13:29,2023-01-15T18:18:28,0.79,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-16,27,0.1,13.6,26.3,-3.9,13.4,2.1,52.6,0,0,0,,0,0,21.2,20.3,135,1018.7,3.7,10,245,21.3,9,,2023-01-16T07:13:32,2023-01-16T18:19:07,0.83,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-17,24.2,0.1,14.6,24.2,0.1,14.4,4,54.8,0,0,0,,0,0,42.2,22.3,128.9,1016.4,57.9,9.2,238.4,20.5,9,,2023-01-17T07:13:33,2023-01-17T18:19:46,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-18,25.1,3.1,15,25.1,2.8,15,5.1,57.2,0,0,0,,0,0,18.7,15.8,109.6,1017.1,57.2,9.1,240.8,20.7,8,,2023-01-18T07:13:33,2023-01-18T18:20:25,0.9,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2023-01-19,25.2,1.1,15.7,25.2,-0.6,15.5,2.8,46.6,0,0,0,,0,0,40.7,27.7,148.9,1019.4,56.1,10.2,241.1,20.8,9,,2023-01-19T07:13:32,2023-01-19T18:21:04,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2023-01-20,26,3.1,15.1,26,1.7,14.8,4.3,54.5,0,0,0,,0,0,18,25.6,102.5,1019.3,51.4,10,240.2,20.7,9,,2023-01-20T07:13:29,2023-01-20T18:21:43,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
