name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-05-01,28.9,13,22.3,27.4,13,22,6,36,0,0,0,,0,0,36.7,22,181.8,1013,42.1,12.3,312.7,27.1,10,,2024-05-01T06:07:36,2024-05-01T18:59:42,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-05-02,30.1,9.4,22.8,28.7,9.4,22.4,6.4,37.1,0,0,0,,0,0,32.4,20.3,192.4,1008.4,63.5,8.8,323,27.9,10,,2024-05-02T06:07:02,2024-05-02T19:00:03,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-05-03,31.1,9.6,22.7,29.1,9.6,22.3,7.2,39.9,1,100,4.17,rain,0,0,64.8,40,82.8,1010.3,50.4,8.9,317.1,27.3,10,,2024-05-03T06:06:28,2024-05-03T19:00:24,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-05-04,31.4,14.4,22,29.4,14.4,21.7,8,44.4,3.5,100,4.17,rain,0,0,46.4,26.1,130.5,1012.1,35.3,8.7,311.4,26.8,10,,2024-05-04T06:05:56,2024-05-04T19:00:46,0.88,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-05-05,30.5,13.6,22.1,28.8,13.6,21.8,8.7,45.2,0,0,0,,0,0,40.1,21.7,186.8,1009.6,49.7,7.1,301.4,26.1,9,,2024-05-05T06:05:25,2024-05-05T19:01:08,0.92,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-05-06,31.3,10.6,22.9,29.4,10.6,22.5,7.2,40.5,0,0,0,,0,0,32.4,21.3,136.8,1012.3,68.7,8.9,296.1,25.6,10,,2024-05-06T06:04:54,2024-05-06T19:01:30,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-05-07,32.4,17.7,25.2,30.2,17.7,24.5,5.7,33.8,0,0,0,,0,0,30.6,17.4,137.9,1009.9,69.6,8.4,318.3,27.4,10,,2024-05-07T06:04:25,2024-05-07T19:01:52,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-05-08,32,10.2,23.3,30.3,10.2,22.9,7.7,39.5,0,0,0,,0,0,40.5,24.1,139.1,1010.2,48.7,9,315.6,27.3,10,,2024-05-08T06:03:56,2024-05-08T19:02:14,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-05-09,32.9,10.8,24.5,30.6,10.8,23.8,7.2,37.5,0,0,0,,0,0,31.3,23.4,65.7,1009,42.6,7.2,285.1,24.6,10,,2024-05-09T06:03:28,2024-05-09T19:02:37,0.05,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-05-10,32.1,13.4,25.3,29.9,13.4,24.5,3.5,28.6,0,0,0,,0,0,31.7,34.2,48.2,1009.9,69.9,10.1,306.3,26.5,10,,2024-05-10T06:03:02,2024-05-10T19:03:00,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
