name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2022-09-27,25,10,16,25,7.5,15.9,9.9,68.2,1,100,16.67,rain,0,0,33.1,27.4,10.2,1019.7,85,14.3,139.9,12.1,6,,2022-09-27T07:26:20,2022-09-27T19:28:12,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-09-28,21.1,11.1,16.1,21.1,11.1,16.1,10.3,70,2.6,100,37.5,rain,0,0,37.8,33.5,2.1,1023.4,90,12.8,184.4,15.9,7,,2022-09-28T07:26:33,2022-09-28T19:27:19,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-09-29,21.1,9,14.8,21.1,7.2,14.7,7.9,65.5,0,0,0,,0,0,32,27.7,16.1,1023,72.8,13.4,224.1,19.3,9,,2022-09-29T07:26:46,2022-09-29T19:26:26,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-09-30,26.1,8.2,15.5,26.1,8.2,15.5,7.7,62.7,1.7,100,4.17,rain,0,0,223.2,22.3,17.1,1020.5,58.2,11.8,275.1,23.7,10,,2022-09-30T07:26:59,2022-09-30T19:25:33,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2022-10-01,26.1,7,16.1,26.1,6.2,15.9,8.1,63.7,0,0,0,,0,0,31.3,18.4,13.7,1019.4,24.1,9.7,295.7,25.5,10,,2022-10-01T07:27:13,2022-10-01T19:24:41,0.21,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-02,25.1,9,16.7,25.1,7.2,16.7,8.8,62.6,0,0,0,,0,0,24.8,25.9,3,1019.5,59.6,9.8,237.3,20.4,9,,2022-10-02T07:27:26,2022-10-02T19:23:49,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-03,26.1,10.6,16.9,26.1,10.6,16.9,8,60.2,0.6,100,12.5,rain,0,0,23.4,23.8,349.4,1021.3,53.6,8.8,228.5,19.8,10,,2022-10-03T07:27:40,2022-10-03T19:22:57,0.28,"Rain, Partially cloudy",Clearing in the afternoon with rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-04,24,9.9,16.2,24,8.3,16.1,9.6,67.2,3.7,100,12.5,rain,0,0,22.3,18.4,7,1020.4,53.5,9.6,207.8,17.7,8,,2022-10-04T07:27:55,2022-10-04T19:22:06,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76675399999,76679399999,MMCB,76680099999,remote,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2022-10-05,22.4,12.2,15.6,22.4,12.2,15.6,11.7,79.4,23,100,8.33,rain,0,0,27.7,33.3,76.1,1022.2,87.7,7.6,171.9,14.8,7,,2022-10-05T07:28:09,2022-10-05T19:21:15,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2022-10-06,26,11.1,16.5,26,11.1,16.5,12,76.7,8,100,4.17,rain,0,0,26.6,24.1,1.7,1022,93.6,8.9,172.1,14.9,7,,2022-10-06T07:28:24,2022-10-06T19:20:24,0.39,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,MMMX,76675099999"
