name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-01-01,22.1,-2.9,11.6,22.1,-5.1,11.2,2.2,58.7,0,0,0,,0,0,36.9,15.9,87.6,1021.8,17.9,6.9,232.2,20.1,8,10,2024-01-01T07:10:39,2024-01-01T18:09:20,0.69,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-02,19.7,1.1,11.8,19.7,1.1,11.7,4,61.4,0,0,0,,0,0,32.4,17.4,164.7,1020.3,62.3,9.1,211.6,18.2,8,10,2024-01-02T07:10:59,2024-01-02T18:09:57,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2024-01-03,23.2,6.1,14.4,23.2,5.1,14.3,3.6,54.5,0,0,0,,0,0,25.9,23.3,133.3,1017.4,47.9,10.9,230.2,19.9,8,10,2024-01-03T07:11:18,2024-01-03T18:10:34,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-04,23.7,0.7,14.9,23.7,0.7,14.8,5.1,56.1,0,0,0,,0,0,43.2,25.8,159.4,1016.9,16.6,13.4,235.2,20.4,9,10,2024-01-04T07:11:35,2024-01-04T18:11:12,0.78,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-05,22.9,2,13.7,22.9,0.5,13.5,4.5,58.7,0,0,0,,0,0,43.2,25.6,192,1015.5,8.7,13.7,228.6,19.9,8,10,2024-01-05T07:11:51,2024-01-05T18:11:50,0.81,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-06,23,2.7,14.7,23,2.7,14.7,3.7,52.7,0,0,0,,0,0,34.9,22.3,212.1,1015.8,26.4,16.3,235.5,20.2,8,10,2024-01-06T07:12:07,2024-01-06T18:12:28,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-07,22.9,3.1,12.9,22.9,2.2,12.8,3.8,57.5,0.014,100,8.33,rain,0,0,34.6,22.2,113.5,1019.3,89.8,14.5,182.4,15.7,8,10,2024-01-07T07:12:21,2024-01-07T18:13:06,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-08,23.1,11,16.4,23.1,11,16.4,7.1,57.2,0,0,0,,0,0,54,23.9,217.1,1013.8,66.7,12.9,212.5,18.2,8,10,2024-01-08T07:12:33,2024-01-08T18:13:45,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2024-01-09,22.1,5.7,15.1,22.1,4.6,15,3,50.4,0,0,0,,0,0,22,16.1,141.5,1015.8,82.3,11.3,171.9,15,7,10,2024-01-09T07:12:45,2024-01-09T18:14:24,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-10,22.8,3.1,15.4,22.8,1,15.3,2,45.3,0,0,0,,0,0,46.8,22,145.3,1016.6,68.4,14.3,225.7,19.3,8,10,2024-01-10T07:12:55,2024-01-10T18:15:03,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
