name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Gustavo A Madero, CDMX, México",2024-01-01,22.1,-2.9,11.6,22.1,-5.1,11.2,2.2,58.7,0,0,0,,0,0,36.9,15.9,87.6,1021.8,17.9,6.9,232.2,20.1,8,,2024-01-01T07:10:39,2024-01-01T18:09:20,0.69,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-02,19.7,1.1,11.8,19.7,1.1,11.7,4,61.4,0,0,0,,0,0,32.4,17.4,164.7,1020.3,62.3,9.1,211.6,18.2,8,,2024-01-02T07:10:59,2024-01-02T18:09:57,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2024-01-03,23.2,6.1,14.4,23.2,5.1,14.3,3.6,54.5,0,0,0,,0,0,25.9,23.3,133.3,1017.4,47.9,10.9,230.2,19.9,8,,2024-01-03T07:11:18,2024-01-03T18:10:34,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-04,23.7,0.7,14.9,23.7,0.7,14.8,5.1,56.1,0,0,0,,0,0,43.2,25.8,159.4,1016.9,16.6,12.5,235.2,20.4,9,,2024-01-04T07:11:35,2024-01-04T18:11:12,0.78,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-05,22.9,2,13.7,22.9,0.5,13.5,4.5,58.7,0,0,0,,0,0,43.2,25.6,192,1015.5,8.7,12.2,228.6,19.9,8,,2024-01-05T07:11:51,2024-01-05T18:11:50,0.81,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-06,23,2.7,14.7,23,2.7,14.7,3.7,52.7,0,0,0,,0,0,34.9,22.3,212.1,1015.8,26.4,16.3,235.5,20.2,8,,2024-01-06T07:12:07,2024-01-06T18:12:28,0.85,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-07,22.9,3.1,12.9,22.9,2.2,12.8,3.8,57.5,0.014,100,8.33,rain,0,0,34.6,22.2,113.5,1019.3,89.8,13.7,182.4,15.7,8,,2024-01-07T07:12:21,2024-01-07T18:13:06,0.88,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-08,23.1,11,16.4,23.1,11,16.4,7.1,57.2,0,0,0,,0,0,54,23.9,217.1,1013.8,66.7,12.4,212.5,18.2,8,,2024-01-08T07:12:33,2024-01-08T18:13:45,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,remote,MMMX,MMTO,76675099999"
"Gustavo A Madero, CDMX, México",2024-01-09,22.1,5.7,15.1,22.1,4.6,15,3,50.4,0,0,0,,0,0,22,16.1,141.5,1015.8,82.3,10.7,171.9,15,7,,2024-01-09T07:12:45,2024-01-09T18:14:24,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-10,22.8,3.1,15.4,22.8,1,15.3,2,45.3,0,0,0,,0,0,46.8,22,145.3,1016.6,68.4,14.3,225.7,19.3,8,,2024-01-10T07:12:55,2024-01-10T18:15:03,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-11,25.2,0.3,14.5,25.2,0.3,14.4,2.1,47,0,0,0,,0,0,36,25.4,180.8,1015.3,62.8,12.5,228.7,19.7,8,,2024-01-11T07:13:05,2024-01-11T18:15:42,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-12,26.7,9.6,16.6,26.4,7.8,16.5,4.5,50.1,0,0,0,,0,0,37.1,19,92.3,1014.3,50,11.1,236.3,20.4,8,,2024-01-12T07:13:13,2024-01-12T18:16:21,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-13,23.8,3.1,15.9,23.8,0.5,15.8,4.3,49.8,0,0,0,,0,0,36,23.9,231,1013.4,58.5,12.1,203.2,17.6,8,,2024-01-13T07:13:19,2024-01-13T18:17:01,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-14,24.9,7.6,16.8,24.9,7.6,16.8,6.2,54,0,0,0,,0,0,20.9,18.2,117.3,1013.7,68.3,11.7,197.2,16.9,7,,2024-01-14T07:13:25,2024-01-14T18:17:40,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-15,28.2,1.7,15.8,27.3,1.7,15.8,3.6,49.7,0,0,0,,0,0,22.7,14.2,8.7,1013.2,13.6,10,242.3,20.9,9,,2024-01-15T07:13:29,2024-01-15T18:18:19,0.15,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-16,26,4,17,26,2.6,17,4,47.4,0,0,0,,0,0,28.8,16.7,103.2,1013.6,6.2,10.4,243.8,21.1,9,,2024-01-16T07:13:32,2024-01-16T18:18:58,0.18,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-17,25.3,4.1,16.1,25.3,4.1,16,5.4,53.5,0,0,0,,0,0,20.9,13.7,89.3,1015.4,56.8,9.8,217.4,18.7,8,,2024-01-17T07:13:33,2024-01-17T18:19:37,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-18,25.4,7.1,16.6,25.4,7.1,16.6,5.5,55.3,0,0,0,,0,0,28.4,11.1,71.6,1016.5,63.2,9.2,226.5,19.6,8,,2024-01-18T07:13:34,2024-01-18T18:20:16,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMTO,MMMX,76675099999"
"Gustavo A Madero, CDMX, México",2024-01-19,26.6,4.9,15.3,26.6,4.9,15.3,-0.2,39.7,0,0,0,,0,0,30.6,15.5,359.3,1018.6,85.2,12.1,170.6,14.6,7,,2024-01-19T07:13:33,2024-01-19T18:20:55,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,MMCB,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-20,19.8,8.1,13.9,19.8,8.1,13.9,4.6,54.5,0,0,0,,0,0,22.3,22.9,322.2,1019,86.3,10.2,146,12.6,6,,2024-01-20T07:13:31,2024-01-20T18:21:34,0.32,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-21,18.6,8,14.6,18.6,7.3,14.5,8.5,68.4,0.1,100,4.17,rain,0,0,29.9,13.2,97.7,1019.5,87.8,7.9,163.8,14.1,7,,2024-01-21T07:13:27,2024-01-21T18:22:12,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"76726099999,76675399999,76679399999,76680099999,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-22,22.8,9.4,15.8,22.8,9.4,15.8,8,63.5,0,0,0,,0,0,32.4,13.1,144.4,1016.7,59.7,9.9,200.9,17.4,7,,2024-01-22T07:13:22,2024-01-22T18:22:50,0.39,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-23,23.3,2.6,14.7,23.3,2.6,14.7,5.6,58.5,0,0,0,,0,0,28.8,22.3,130.6,1017.4,17.7,11,228.5,19.6,8,,2024-01-23T07:13:16,2024-01-23T18:23:28,0.43,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMSM,MMMX,76675099999,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-24,25.2,3.1,16.8,25.2,3.1,16.7,6.7,56,0,0,0,,0,0,43.2,27.6,153.4,1016,16.6,13.8,231,19.9,9,,2024-01-24T07:13:09,2024-01-24T18:24:06,0.47,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,MMTO,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-25,24.9,2.2,15.9,24.9,2.2,15.8,2.2,46.2,0,0,0,,0,0,50.4,28.6,216.5,1017,6.5,12.5,245.3,21.1,9,,2024-01-25T07:13:00,2024-01-25T18:24:43,0.5,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-26,25.8,10.4,18.1,25.8,10.4,18.1,1.7,37.2,0,0,0,,0,0,57.6,26.6,230.8,1018.4,8.3,15.9,244.5,21.1,9,,2024-01-26T07:12:50,2024-01-26T18:25:20,0.53,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-27,25.9,1.4,15.6,25.9,1.4,15.5,0.7,41.4,0,0,0,,0,0,42.5,24.2,44.4,1017.8,3.6,11.8,250.8,21.8,9,,2024-01-27T07:12:39,2024-01-27T18:25:57,0.57,Clear,Clear conditions throughout the day.,clear-day,"76726099999,76675399999,76679399999,76680099999,MMCB,MMSM,76675099999,MMMX,MMTO"
"Gustavo A Madero, CDMX, México",2024-01-28,22,9.2,14.5,22,7.8,14.3,8,69.2,0,0,0,,0,0,34.2,14,337.8,1020.2,55.4,6.8,218.1,18.8,8,,2024-01-28T07:12:27,2024-01-28T18:26:33,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-29,20.8,5.7,13.5,20.8,5.1,13.3,2.8,53.1,0,0,0,,0,0,30.6,18.1,354,1021,74.2,8.9,199.9,17.1,8,,2024-01-29T07:12:13,2024-01-29T18:27:09,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-30,19.9,5.1,14.8,19.9,4,14.7,0,39.4,0,0,0,,0,0,34.9,17.2,345.1,1019.5,92.9,12.7,185.8,16,8,,2024-01-30T07:11:58,2024-01-30T18:27:45,0.66,Overcast,Cloudy skies throughout the day.,cloudy,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,76675099999,MMTO,MMMX"
"Gustavo A Madero, CDMX, México",2024-01-31,22.8,8.9,16.1,22.8,7.9,16,-0.1,35.5,0,0,0,,0,0,23.8,14.7,41.8,1017.9,88.8,10,202.8,17.7,9,,2024-01-31T07:11:42,2024-01-31T18:28:20,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"76726099999,76675399999,76679399999,76680099999,MMCB,remote,MMSM,76675099999,MMTO,MMMX"
